diet_group,norm_ghgs,norm_land,norm_watscar,norm_acid,norm_bio,norm_eut
fish,0.17439884608788994,0.05276894782761372,0.24940508491949945,0.2417966742304853,0.14765390249507684,0.18453128011898598
meat,0.3040800783576926,0.1400674600169753,0.26321025177972057,0.38565496318930803,0.19253927810733337,0.2951334976102129
meat100,0.5115107808329463,0.2930456092567162,0.3249235989457508,0.5714179903251322,0.26764442471241734,0.4489333301660321
meat50,0.20996403217595844,0.07811017435137152,0.2350282163080886,0.28643471250798525,0.15878968060288284,0.21481393019111483
vegan,0.03935020616023889,0.019964146617669237,0.18691893135508178,0.060064227111334134,0.05073681435432343,0.0522616487189223
veggie,0.1414535024158828,0.048411920672461105,0.2091568026858601,0.20636595325832505,0.14438019388006426,0.13475943483041108
